lesson_number,position_in_lesson,lesson_number,position_in_lesson,utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
1,1,1,1,"Pardon, est-ce que vous comprenez l'anglais?",Male Speaker,ConversationalExchange,,pardon est-ce que vous comprendre l' anglais
1,2,1,2,"Non, Monsieur. Je ne comprends pas l'anglais.",Female Speaker,ConversationalExchange,,non monsieur je ne comprendre pas l' anglais
1,3,1,3,Je comprends un peu le français.,Male Speaker,ConversationalExchange,,je comprendre un peu le français
1,4,1,4,Est-ce que vous êtes américain?,Female Speaker,ConversationalExchange,,est-ce que vous être américain
1,5,1,5,"Oui, Mademoiselle.",Male Speaker,ConversationalExchange,,oui mademoiselle
1,6,1,6,Pardon.,Male Speaker,DirectRepetition,"Imagine an American man sitting next to a Frenchwoman. He wants to begin a conversation so he says, ""Excuse me?""",pardon
1,7,1,7,Don.,Male Speaker,DirectRepetition,Don.,don
1,8,1,8,Par.,Male Speaker,DirectRepetition,Par.,par
1,9,1,9,Pardon.,Male Speaker,DirectRepetition,Pardon.,pardon
1,10,1,10,Pardon.,Male Speaker,PromptedRecall,"How do you say ""Excuse me"" in French?",pardon
1,11,1,11,L'anglais.,Male Speaker,DirectRepetition,L'anglais.,l' anglais
1,12,1,12,L'anglais.,Male Speaker,DirectRepetition,L'anglais.,l' anglais
1,13,1,13,anglais.,Male Speaker,PromptedRecall,"Now, say the same word leaving off the ""L"" sound at the beginning.",anglais
1,14,1,14,L'anglais.,Male Speaker,PromptedRecall,"Now, again with the ""L"" sound.",l' anglais
1,15,1,15,L'anglais.,Male Speaker,PromptedRecall,"Once again, say ""English"".",l' anglais
1,16,1,16,Pardon.,Male Speaker,PromptedRecall,"Say, ""Excuse me.""",pardon
1,17,1,17,Pardon.,Male Speaker,DirectRepetition,Pardon.,pardon
1,18,1,18,L'anglais.,Male Speaker,PromptedRecall,"Say again, ""English.""",l' anglais
1,19,1,19,Comprenez.,Male Speaker,DirectRepetition,Comprenez.,comprendre
1,20,1,20,Ne.,Male Speaker,DirectRepetition,Ne.,ne
1,21,1,21,Prenez.,Male Speaker,DirectRepetition,Prenez.,prendre
1,22,1,22,Com.,Male Speaker,DirectRepetition,Com.,com
1,23,1,23,Comprenez.,Male Speaker,DirectRepetition,Comprenez.,comprendre
1,24,1,24,Comprenez.,Male Speaker,PromptedRecall,"Say, ""Understand.""",comprendre
1,25,1,25,Vous comprenez.,Male Speaker,DirectRepetition,Vous comprenez.,vous comprendre
1,26,1,26,Vous.,Male Speaker,DirectRepetition,Vous.,vous
1,27,1,27,Vous comprenez.,Male Speaker,DirectRepetition,Vous comprenez.,vous comprendre
1,28,1,28,Vous comprenez.,Male Speaker,PromptedRecall,"Say, ""You understand.""",vous comprendre
